Date,Open,High,Low,Close,Adj Close,Volume
2023-02-09,39.930000,40.070000,39.130001,39.590000,36.842110,10654600
2023-02-10,39.349998,40.610001,38.939999,40.369999,37.567970,14915700
2023-02-13,40.730000,41.139999,40.029999,40.599998,37.782005,16244800
2023-02-14,42.279999,42.750000,41.250000,41.549999,38.666065,59231000
2023-02-15,41.779999,42.180000,41.180000,41.930000,39.019691,24571900
2023-02-16,41.650002,42.590000,41.369999,42.400002,39.457073,21507400
2023-02-17,42.349998,43.130001,41.980000,42.820000,39.847916,22363700
2023-02-22,42.799999,42.810001,41.660000,41.759998,38.861488,11164100
2023-02-23,41.900002,42.599998,41.680000,42.099998,39.177887,24147100
2023-02-24,41.360001,41.529999,40.240002,40.480000,38.425037,12275400
2023-02-27,40.490002,40.740002,39.720001,39.930000,37.902954,11236200
2023-02-28,40.139999,40.790001,39.900002,40.299999,38.254173,16665100
2023-03-01,40.299999,40.299999,38.369999,39.000000,37.020172,27264800
2023-03-02,39.000000,39.080002,37.369999,37.430000,35.529865,17489300
2023-03-03,37.700001,38.320000,37.330002,37.849998,35.928539,16858900
2023-03-06,37.869999,39.009998,37.869999,38.709999,36.744892,10232600
2023-03-07,39.000000,39.779999,38.500000,39.599998,37.589706,19313500
2023-03-08,39.700001,40.380001,39.570000,40.000000,37.969406,13021300
2023-03-09,39.930000,40.189999,39.130001,39.130001,37.143574,12388700
2023-03-10,39.000000,39.060001,38.020000,38.389999,36.441132,12892900
2023-03-13,38.130001,38.570000,37.790001,38.150002,36.213322,9140200
2023-03-14,37.919998,38.139999,37.230000,37.509998,35.937428,11087400
2023-03-15,36.840000,37.790001,36.750000,37.549999,35.975746,11569500
2023-03-16,37.669998,38.160000,37.299999,37.950001,36.358982,12777800
2023-03-17,37.599998,38.119999,37.299999,37.299999,35.736233,21046700
2023-03-20,37.310001,38.080002,36.700001,37.090000,35.535034,10493700
2023-03-21,37.310001,37.770000,37.279999,37.529999,35.956585,8919400
2023-03-22,37.540001,38.250000,37.400002,37.619999,36.042816,11859200
2023-03-23,37.720001,38.139999,36.779999,37.209999,35.650002,11420400
2023-03-24,37.330002,37.930000,37.049999,37.590000,36.014072,7940300
2023-03-27,37.980000,38.150002,37.430000,37.610001,36.033234,6914400
2023-03-28,37.610001,38.080002,37.509998,37.869999,36.282330,7944700
2023-03-29,38.040001,38.430000,37.650002,38.310001,36.703888,7197800
2023-03-30,38.950001,39.189999,38.400002,39.009998,37.374538,13147600
2023-03-31,39.160000,39.520000,38.570000,39.110001,37.470348,8450100
2023-04-03,39.209999,39.279999,38.209999,38.650002,37.029636,8960300
2023-04-04,38.900002,39.480000,38.730000,39.290001,37.642803,8235800
2023-04-05,39.349998,39.680000,38.830002,39.150002,37.508671,7766200
2023-04-06,39.240002,39.340000,38.849998,39.020000,37.384121,6680900
2023-04-10,39.349998,39.689999,38.970001,39.040001,37.403282,10958400
2023-04-11,39.299999,40.130001,39.250000,39.939999,38.265549,13342900
2023-04-12,40.060001,43.250000,40.009998,42.720001,40.929005,63971600
2023-04-13,42.639999,43.389999,42.400002,42.700001,40.909840,18396800
2023-04-14,42.619999,43.490002,42.150002,43.430000,41.609234,21129000
2023-04-17,43.369999,43.750000,43.020000,43.529999,41.705040,12049000
2023-04-18,43.549999,43.669998,43.029999,43.610001,41.781689,8675300
2023-04-19,43.389999,43.520000,42.840000,43.099998,41.293068,10504800
2023-04-20,42.980000,43.599998,42.709999,43.509998,41.685879,10363100
2023-04-24,43.419998,44.040001,43.049999,43.419998,41.599651,10259800
2023-04-25,43.000000,43.330002,42.730000,43.020000,41.216423,11845600
2023-04-26,43.259998,43.259998,42.520000,42.669998,40.881096,11816500
2023-04-27,42.669998,43.200001,42.520000,42.720001,40.929005,6186400
2023-04-28,43.009998,43.299999,42.349998,42.860001,41.063137,10398000
2023-05-02,42.759998,42.759998,41.720001,41.840000,40.085896,12619600
2023-05-03,42.060001,42.119999,41.560001,41.709999,39.961342,5630900
2023-05-04,42.000000,42.450001,41.540001,42.180000,40.411640,7376000
2023-05-05,42.189999,43.310001,42.189999,43.250000,41.436779,7191100
2023-05-08,43.439999,43.779999,42.959999,43.080002,41.273914,8097600
2023-05-09,42.990002,43.410000,42.669998,42.950001,41.149364,10115800
2023-05-10,43.000000,43.599998,42.599998,43.509998,41.685879,10522200
2023-05-11,43.419998,44.619999,43.070000,44.400002,42.538574,13579900
2023-05-12,44.049999,44.689999,43.900002,44.230000,42.375702,12208700
2023-05-15,44.490002,44.849998,44.029999,44.439999,42.576889,8632500
2023-05-16,44.439999,44.740002,42.930000,43.160000,41.350555,21607700
2023-05-17,43.250000,43.849998,42.930000,43.230000,41.417622,17523100
2023-05-18,43.099998,43.320000,42.799999,43.200001,41.388878,11712000
2023-05-19,43.340000,44.119999,42.990002,44.040001,42.193665,33966000
